name,ingredients,method
Summer fruit & mascarpone tart,"[{""""ing_group"""":""2 x 320g ready-rolled all-butter puff pastry""},{""""ing_group"""":""100g icing sugar""},{""""ing_group"""":""750g tub mascarpone""},{""""ing_group"""":""600ml double cream""},{""""ing_group"""":""2 tsp vanilla extract""},{""""ing_group"""":""200g raspberries , a few halved""},{""""ing_group"""":""200g blackberries , a few halved""},{""""ing_group"""":""1 large mango , peeled and thinly sliced""},{""""ing_group"""":""6 nectarines or peaches, or a mixture, sliced""},{""""ing_group"""":""4 passion fruits (look for ones with crinkly skin, this means they’re ripe), halved, seeds and pulp scooped out""},{""""ing_group"""":""handful small mint leaves""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Unroll 1 pastry sheet, but leave it on the parchment. Place it on a baking tray, dust with 2 tbsp icing sugar, then cover with another sheet of parchment and another baking tray. Pour baking beans into the tray to weigh it down, or use empty cans. Bake for 30 mins, then check if the pastry is golden all over. If not, return for another 5 mins or so. Repeat with the other pastry sheet (or cook both together if you have enough trays). Once out of the oven, trim the edges with a large, sharp knife. Leave to cool.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Softly whip the mascarpone, cream, vanilla and remaining icing sugar, then transfer half to a disposable piping bag fitted with a 1.5cm round nozzle (or just snip off the corner). Pipe blobs of the mascarpone cream over the surface of one piece of pastry, right up to the edges. Top with half the fruit and dust with a little icing sugar.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Top with the second piece of pastry, more mascarpone cream (refilling the bag when you need to), the remaining fruit, a dusting of icing sugar and, finally, some mint leaves. Use a serrated knife to cut through the layers without squashing the whole tart. Best served within an hour or two, but leftovers will keep for up to two days in the fridge.""}]"
Strawberry shortbread ice cream sandwich,"[{""""ing_group"""":""4 scoops strawberry cheesecake ice cream , softened""},{""""ing_group"""":""a few fresh strawberries , finely chopped""},{""""ing_group"""":""8 Viennese whirls (or shortbread biscuits)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Mix the ice cream with the strawberries and freeze until solid.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Sandwich spoonfuls of the ice cream between the biscuits, then eat immediately.""}]"
Coconut chicken noodle salads,"[{""""ing_group"""":""2 small or 1 large  chicken breast""},{""""ing_group"""":""3 slices ginger""},{""""ing_group"""":""1 stalk lemongrass""},{""""ing_group"""":""400ml coconut milk""},{""""ing_group"""":""150g egg noodles""},{""""ing_group"""":""1-2 tbsp peanut butter""},{""""ing_group"""":""handful green beans , trimmed and cut into lengths""},{""""ing_group"""":""12 cherry tomatoes , halved""},{""""ing_group"""":""2 handfuls baby spinach leaves""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the chicken, ginger, lemongrass and coconut milk in a pan and bring to a simmer. Add a pinch of salt, then reduce the heat and cook for 10-15 mins until the chicken is cooked through. Cool, then chill until cold.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Cook the noodles following pack instructions. Lift the chicken out of the coconut liquid and shred it, then stir the peanut butter into enough of the liquid to make a thick dressing.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Divide the noodles between four jars or boxes and spoon over the coconut dressing, or take it with you in a separate jar. Add the beans and tomatoes followed by the chicken and spinach. Seal the lid and chill the jars until you need to pack them. Serve in the jar or, for smaller children tip into bowls.""}]"
Slow-roasted courgettes with fennel & orzo,"[{""""ing_group"""":""pinch of saffron""},{""""ing_group"""":""1⁄2 bulb of fennel , sliced""},{""""ing_group"""":""100g cherry tomatoes , halved""},{""""ing_group"""":""1 bay leaf""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""pinch of dried chilli flakes""},{""""ing_group"""":""120ml dry white wine""},{""""ing_group"""":""4-6 baby to medium-sized courgettes""},{""""ing_group"""":""1 lemon , zested""},{""""ing_group"""":""50g sourdough breadcrumbs""},{""""ing_group"""":""200g orzo""},{""""ing_group"""":""1 tbsp pine nuts , toasted""},{""""ing_group"""":""1 tbsp ricotta""},{""""ing_group"""":""handful of dill""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the saffron in a small bowl and cover with 1/2 tbsp of boiling water. Heat oven to 180C/160C fan/gas 4. Put the fennel in a roasting tin with the tomatoes and bay leaf, drizzle over some oil, season and toss together with the chilli flakes. Pour over the wine. Prick the courgettes all over with a fork and place on top of the fennel. Drizzle with a little more oil, then season and cover with foil.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Roast for 1 1/2 - 2 hrs, turning the courgettes halfway through, removing the foil for the last 5 mins. The courgettes should be very soft. Lift the courgettes from the pan and set aside.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Meanwhile, heat 1 tbsp olive oil in a frying pan over a medium heat. Add half the lemon zest and breadcrumbs, and gently fry until the bread is golden and crunchy. Set aside.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Cook the orzo in a pan of boiling water until al dente, then drain. Toss with the fennel, tomatoes, pine nuts, the saffron and its water. Season.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Divide the orzo between plates and add half the ricotta to each, drizzle with olive oil and sprinkle with sea salt. Top with the courgettes and scatter over the breadcrumbs, remaining lemon zest and sprigs of dill.""}]"
Charred nectarine & prosciutto panzanella,"[{""""ing_group"""":""3 slices sourdough""},{""""ing_group"""":""4 tbsp olive oil""},{""""ing_group"""":""1 tbsp thyme leaves""},{""""ing_group"""":""1 tbsp capers""},{""""ing_group"""":""1⁄2 lemon , juiced""},{""""ing_group"""":""2 tsp Dijon mustard""},{""""ing_group"""":""4-6 ripe nectarines , halved and stoned""},{""""ing_group"""":""bunch of basil""},{""""ing_group"""":""50g sorrel or spinach leaves""},{""""ing_group"""":""handful of chervil""},{""""ing_group"""":""handful of tarragon""},{""""ing_group"""":""2 tbsp ricotta""},{""""ing_group"""":""100g prosciutto""},{""""ing_group"""":""handful of roasted hazelnuts , chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Brush the bread with 1 tbsp of the olive oil and scatter over some sea salt and thyme leaves. Roast for 15 mins, turning once, until crispy and golden. Break up into a bowl and toss with the capers.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, whisk together the lemon juice, 2 tbsp olive oil, a pinch of salt and the mustard to make a dressing, then pour half over the bread.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat a grill pan to a high heat and sprinkle in some sea salt. Drizzle the nectarines with the remaining 1 tbsp oil and grill, flesh-side down, until charred. Add to the bowl with the bread, along with the basil, sorrel, chervil and tarragon.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Season and toss everything together, then pile onto a serving platter. Top with the ricotta, prosciutto and hazelnuts, and serve with the remaining dressing on the side, if you like.""}]"
Pea mousse,"[{""""ing_group"""":""120ml double cream""},{""""ing_group"""":""120ml milk""},{""""ing_group"""":""3 ⅓ sheets gelatine (the sheets are easy to snap into thirds)""},{""""ing_group"""":""5 egg yolks (freeze the whites for meringues)""},{""""ing_group"""":""15g golden caster sugar""},{""""ing_group"""":""pinch salt""},{""""ing_group"""":""200g white chocolate , chopped""},{""""ing_group"""":""60g butter , chopped""},{""""ing_group"""":""200g frozen petits pois , defrosted""},{""""ing_group"""":""pea shoots and edible flowers, to decorate""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the cream and milk in a pan and heat slowly until almost boiling. Soak the gelatine in cold water until floppy.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Put the egg yolks in a bowl with the sugar and whisk together with the salt. Pour the milk mixture over the yolks, then pour the lot back into the pan (give it a wipe first to clean the bottom) and stir the mixture over a low heat until it starts to thicken and make a thin custard. Keep stirring and don’t turn the heat up too high or the eggs might start to cook into clumps.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Turn off the heat and stir in the gelatine, chocolate and butter then, once incorporated, stir in the peas. Whizz in a blender until it is as fine as you can get it, then pour it through a sieve into a jug. Either chill in a box or divide the mixture between glasses and chill them. If you’ve chilled the mixture in a box, spoon or pipe it into glasses to serve and decorate with pea shoots and flowers.""}]"
Mashed cannellini beans with wilted greens & fried artichokes,"[{""""ing_group"""":""4 tbsp olive oil""},{""""ing_group"""":""1 garlic clove , crushed""},{""""ing_group"""":""2 thyme sprigs""},{""""ing_group"""":""pinch of red chilli flakes""},{""""ing_group"""":""400g can cannellini beans , drained, 1 tbsp of can water reserved""},{""""ing_group"""":""1 lemon , zested and juiced, plus wedges to serve""},{""""ing_group"""":""200g mixed seasonal greens (I used spinach, watercress, sorrel and rocket)""},{""""ing_group"""":""2 tbsp semolina flour""},{""""ing_group"""":""100g cooked artichoke hearts , in oil""},{""""ing_group"""":""few rosemary sprigs , finely chopped (optional)""},{""""ing_group"""":""parmesan or vegetarian alternative, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Warm 1 tbsp olive oil in a saucepan over a medium heat. Add the garlic, thyme, a pinch of salt and the chilli flakes, and cook for 1 min or so. Tip in the beans, then add a slosh of their water and the juice of 1/2 a lemon. Cook for a few mins, crushing them with a fork or the back of a wooden spoon. Remove from the heat and discard the springs of thyme. Keep warm.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat a little olive oil in a non-stick frying pan with a lid. Add the greens and a pinch of salt, then put the lid on to wilt and steam the greens for a few mins until softened. Season and add some of the lemon juice, and tip into a bowl. Keep warm.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat 2 tbsp olive oil in the frying pan you used for the greens. Put the semolina flour in a bowl and season. Drain the artichokes and pat them dry with kitchen paper. Dip each one in the flour and put in the pan to shallow fry, turning halfway through, until crisp and golden, around 3-5 mins. Spoon the cannellini beans onto a plate and top with the wilted greens and artichokes. Garnish with lemon zest, rosemary, grated parmesan and extra lemon wedges on the side.""}]"
Mint & basil griddled peach salad,"[{""""ing_group"""":""1 lime , zested and juiced""},{""""ing_group"""":""1 tbsp rapeseed oil""},{""""ing_group"""":""2 tbsp finely chopped mint , plus a few whole leaves to serve""},{""""ing_group"""":""2 tbsp basil , chopped""},{""""ing_group"""":""2 peaches (300g), quartered""},{""""ing_group"""":""75g quinoa""},{""""ing_group"""":""160g fine beans , trimmed and halved""},{""""ing_group"""":""1 small red onion , very finely chopped""},{""""ing_group"""":""1 large Little Gem lettuce (165g), roughly chopped""},{""""ing_group"""":""½ x 60g pack rocket""},{""""ing_group"""":""1 small avocado , stoned and sliced""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Mix the lime zest and juice, oil, mint and basil, then put half in a bowl with the peaches. Meanwhile, cook the quinoa following pack instructions.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Cook the beans for 3-4 mins until just tender. Meanwhile, griddle the peaches for 1 min on each side. If you don’t have a griddle pan, use a large non-stick frying pan with a drop of oil.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Drain the quinoa and divide between shallow bowls. Toss the warm beans and onion in the remaining mint mixture and pile on top of the quinoa with the lettuce and rocket. Top with the avocado and peaches and scatter over the mint leaves. Serve while still warm.""}]"
Summer fruit & mascarpone tart,"[{""""ing_group"""":""2 x 320g ready-rolled all-butter puff pastry""},{""""ing_group"""":""100g icing sugar""},{""""ing_group"""":""750g tub mascarpone""},{""""ing_group"""":""600ml double cream""},{""""ing_group"""":""2 tsp vanilla extract""},{""""ing_group"""":""200g raspberries , a few halved""},{""""ing_group"""":""200g blackberries , a few halved""},{""""ing_group"""":""1 large mango , peeled and thinly sliced""},{""""ing_group"""":""6 nectarines or peaches, or a mixture, sliced""},{""""ing_group"""":""4 passion fruits (look for ones with crinkly skin, this means they’re ripe), halved, seeds and pulp scooped out""},{""""ing_group"""":""handful small mint leaves""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Unroll 1 pastry sheet, but leave it on the parchment. Place it on a baking tray, dust with 2 tbsp icing sugar, then cover with another sheet of parchment and another baking tray. Pour baking beans into the tray to weigh it down, or use empty cans. Bake for 30 mins, then check if the pastry is golden all over. If not, return for another 5 mins or so. Repeat with the other pastry sheet (or cook both together if you have enough trays). Once out of the oven, trim the edges with a large, sharp knife. Leave to cool.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Softly whip the mascarpone, cream, vanilla and remaining icing sugar, then transfer half to a disposable piping bag fitted with a 1.5cm round nozzle (or just snip off the corner). Pipe blobs of the mascarpone cream over the surface of one piece of pastry, right up to the edges. Top with half the fruit and dust with a little icing sugar.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Top with the second piece of pastry, more mascarpone cream (refilling the bag when you need to), the remaining fruit, a dusting of icing sugar and, finally, some mint leaves. Use a serrated knife to cut through the layers without squashing the whole tart. Best served within an hour or two, but leftovers will keep for up to two days in the fridge.""}]"
Griddled halloumi with watermelon & caper breadcrumbs,"[{""""ing_group"""":""750g watermelon""},{""""ing_group"""":""2 small shallots , very finely sliced""},{""""ing_group"""":""100ml extra virgin olive oil , plus extra for brushing and to serve""},{""""ing_group"""":""4 tsp white balsamic vinegar""},{""""ing_group"""":""300g halloumi , sliced""},{""""ing_group"""":""good squeeze of lemon juice""},{""""ing_group"""":""75g slightly stale country bread , crusts removed, blitzed into coarse breadcrumbs""},{""""ing_group"""":""1-2 cloves garlic , finely chopped""},{""""ing_group"""":""½ medium red chilli , halved, deseeded and chopped""},{""""ing_group"""":""2½ tbsp capers , rinsed""},{""""ing_group"""":""50g blanched almonds , toasted and chopped""},{""""ing_group"""":""small bunch of mint , leaves picked, half of them torn""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cut the watermelon into either cubes or slices and transfer to a bowl with the shallots. Add 4 tbsp extra virgin olive oil and the balsamic, then season with fresh black pepper. Cover and put in the fridge for about 15-20 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat the remaining oil in a frying pan. Fry the breadcrumbs until turning gold. Add the garlic, chilli and capers and cook for another minute, then toss in the almonds. Remove from the heat, add the torn mint (it will wilt a little), then taste – it will be quite salty, but the watermelon won’t be, so you’ll get a good contrast.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Brush the halloumi with a little oil and heat a griddle pan. Griddle the cheese on both sides until just starting to melt but still holding its shape, with nice golden griddle marks. Toss the cold watermelon and shallots with the rest of the mint leaves and some salt. Divide between four plates, or pile onto a platter. Put the hot halloumi on top. Squeeze over some lemon juice and top with some of the breadcrumb and caper mix. Serve immediately.""}]"
Cauliflower steaks with roasted red pepper & olive salsa,"[{""""ing_group"""":""1 cauliflower""},{""""ing_group"""":""½ tsp smoked paprika""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""1 roasted red pepper""},{""""ing_group"""":""4 black olives, pitted""},{""""ing_group"""":""small handful parsley""},{""""ing_group"""":""1 tsp capers""},{""""ing_group"""":""½ tbsp red wine vinegar""},{""""ing_group"""":""2 tbsp toasted flaked almonds""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 220C/200C fan/gas 7 and line a baking tray with baking parchment. Slice the cauliflower into two 1-inch steaks – use the middle part as it’s larger, and save the rest for another time. Rub the paprika and ½ tbsp oil over the steaks and season. Put on the tray and roast for 15-20 mins until cooked through.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, make the salsa. Chop the pepper, olives, parsley and capers, and put into a bowl and mix with the remaining oil and vinegar. Season to taste. When the steaks are cooked, spoon over the salsa and top with flaked almonds to serve.""}]"
One-pan nachos with black beans,"[{""""ing_group"""":""175g yellow or blue tortilla chips""},{""""ing_group"""":""200g fresh tomato salsa""},{""""ing_group"""":""150g medium cheddar , grated""},{""""ing_group"""":""1 red pepper , quartered, cored and finely chopped""},{""""ing_group"""":""400g can black beans , drained""},{""""ing_group"""":""1 avocado , diced""},{""""ing_group"""":""soured cream , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Arrange the tortilla chips over two-thirds of the tray, spoon most of the salsa on top and scatter over half of the cheese.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Mix the remaining salsa with the red pepper and beans, and tip onto the empty third of the tray. Scatter over the rest of the cheese. Bake for 10-15 mins or until the cheese has melted. Scatter the avocado over the beans and add dollops of the soured cream to serve.""}]"
Roast side of salmon with chermoula,"[{""""ing_group"""":""850g side of salmon""},{""""ing_group"""":""3 tbsp olive oil""},{""""ing_group"""":""1 tsp coriander seeds""},{""""ing_group"""":""1 tsp cumin seeds""},{""""ing_group"""":""½ small pack mint , leaves picked""},{""""ing_group"""":""½ small pack coriander""},{""""ing_group"""":""small handful tarragon""},{""""ing_group"""":""1 lemon , zested and juiced""},{""""ing_group"""":""1 fat garlic clove""},{""""ing_group"""":""½ tsp chilli flakes""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Line the bottom of a roasting tin that’s large enough to fit the salmon in with baking parchment. Brush ½ tbsp oil over the skin and season all over. Place skin-side down in the tin and roast for 15-20 mins until the salmon is just cooked through.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, toast the coriander and cumin seeds in a dry frying pan. Tip into a blender and add all the remaining ingredients. Blitz to a smooth green sauce, adding enough water to get a drizzling consistency. Season to taste. The chermoula can be made in the morning and kept chilled in the fridge. Put the salmon on a serving platter and drizzle over a little chermoula, with the rest on the side to serve.""}]"
One-pan nachos with black beans,"[{""""ing_group"""":""175g yellow or blue tortilla chips""},{""""ing_group"""":""200g fresh tomato salsa""},{""""ing_group"""":""150g medium cheddar , grated""},{""""ing_group"""":""1 red pepper , quartered, cored and finely chopped""},{""""ing_group"""":""400g can black beans , drained""},{""""ing_group"""":""1 avocado , diced""},{""""ing_group"""":""soured cream , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Arrange the tortilla chips over two-thirds of the tray, spoon most of the salsa on top and scatter over half of the cheese.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Mix the remaining salsa with the red pepper and beans, and tip onto the empty third of the tray. Scatter over the rest of the cheese. Bake for 10-15 mins or until the cheese has melted. Scatter the avocado over the beans and add dollops of the soured cream to serve.""}]"
Roasted vegetables,"[{""""ing_group"""":""3 tbsp olive oil""},{""""ing_group"""":""1 aubergine, cut into chunks""},{""""ing_group"""":""2 mixed coloured peppers, such as orange and red, cut into chunks""},{""""ing_group"""":""1 red onion, cut into wedges""},{""""ing_group"""":""2 courgettes, cut into chunks""},{""""ing_group"""":""4 garlic cloves, smashed""},{""""ing_group"""":""3 sprigs of thyme""},{""""ing_group"""":""200g cherry tomatoes""},{""""ing_group"""":""handful of basil leaves""},{""""ing_group"""":""zest of 1 lemon""},{""""ing_group"""":""50g feta, crumbled""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 200C/180C Fan/gas 6. Mix the oil with the aubergine, peppers, red onion, courgette, garlic and thyme in a bowl with sea salt and black pepper. Tip into a large roasting tin then roast for 30 mins. Add the tomatoes to the pan and return to the oven for 10 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Squeeze the garlic from their skins, remove the thyme then scatter over the basil, lemon zest and crumbled feta.""}]"
Steak & aubergine salad,"[{""""ing_group"""":""1 aubergine , halved lengthways, cut into thin slices""},{""""ing_group"""":""2 tbsp flour""},{""""ing_group"""":""3 ½ tbsp olive oil""},{""""ing_group"""":""1 sirloin steak""},{""""ing_group"""":""100g lamb’s lettuce""},{""""ing_group"""":""50g feta , cut into cubes""},{""""ing_group"""":""1 green chilli , halved and chopped""},{""""ing_group"""":""½ lemon , juiced""},{""""ing_group"""":""½small pack coriander , plus extra leaves to serve""},{""""ing_group"""":""½small pack mint , plus extra leaves to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Dust the aubergine slices in the flour, mixed with some seasoning. Heat 2 tbsp of the olive oil in a large frying pan until shimmering. Add the aubergine to the pan and fry for a few mins on each side until collapsing and soft, then set aside. Turn up the heat, season the steak, then add to the pan and fry for 2 mins on each side for rare (longer if you want it medium). Set aside to rest for 5 mins, then slice.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Blitz the remaining olive oil in a blender or small food processor with the rest of the dressing ingredients and a splash of water. When ready to serve, mix half the dressing with the lamb’s lettuce, then tip onto a plate. Top with the crispy aubergine and steak, crumble over the feta, then drizzle over the remaining dressing. Scatter over the remaining herbs and serve.""}]"
Mix & match seafood tacos,"[{""""ing_group"""":""8 crispy corn taco shells""},{""""ing_group"""":""2 sushi-grade skinless salmon fillets (about 250g), cut into 1cm cubes (ask your fishmonger)""},{""""ing_group"""":""2 tbsp soy sauce""},{""""ing_group"""":""2 tbsp Yuzu juice or lime juice""},{""""ing_group"""":""1 tsp sesame oil""},{""""ing_group"""":""1 avocado , stoned, peeled and cubed""},{""""ing_group"""":""nori seaweed , sliced, to serve""},{""""ing_group"""":""1 tsp olive oil""},{""""ing_group"""":""1 crushed garlic""},{""""ing_group"""":""1 tsp crushed ginger""},{""""ing_group"""":""3 spring onions , sliced, plus extra to serve""},{""""ing_group"""":""1⁄2 tsp finely chopped red chilli""},{""""ing_group"""":""250g raw king prawns , roughly chopped""},{""""ing_group"""":""1 lime , zested and juiced, plus wedges to serve""},{""""ing_group"""":""1⁄2 small bunch coriander , leaves picked""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""For the salmon, combine all the ingredients, except the avocado and seaweed, in a bowl and mix well. Cover and leave to marinate in the fridge while you prepare the other ingredients.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""For the prawns, heat the olive oil in a pan over a high heat. Add the garlic, ginger, spring onions and chilli, stirring into the oil for 20 secs. Add the prawns and stir constantly until cooked through and pink. Remove from the heat and stir through the lime zest and juice.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Stir the avocado into the salmon and warm the taco shells following pack instructions. Fill each taco with the prawns or the salmon. Top the salmon tacos with the seaweed and the prawn tacos with coriander and extra spring onions. Squeeze over lime wedges to serve.""}]"
Strawberry & elderflower gateau,"[{""""ing_group"""":""2 x 200g sponge flan cases (25cm)""},{""""ing_group"""":""6 tbsp strawberry jam or conserve""},{""""ing_group"""":""400g strawberries (look for ones that are a similar size), halved""},{""""ing_group"""":""600ml double cream""},{""""ing_group"""":""2 tbsp icing sugar , plus 150g""},{""""ing_group"""":""5 tbsp elderflower cordial""},{""""ing_group"""":""5-6 raspberries or some pink food colouring gel""},{""""ing_group"""":""small handful pistachios (optional), slivered or roughly chopped (see tip)""},{""""ing_group"""":""strawberry coulis or cream, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Remove the base of a 20cm loose-bottomed cake tin (make sure it’s a deep one) and use it as a template to cut out a circle from each flan case. Chop the offcuts from the flans into small pieces and set aside. Reassemble the tin and line it with a couple of sheets of cling film, leaving enough overhanging to wrap up once the tin is filled.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Put one flan disc in the base of the tin and spread over half the jam. Arrange the strawberries around the outside with the cut surface facing outwards. If you have any particularly large or small strawberries, put them to one side.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Whip the cream, 2 tbsp icing sugar and 3 tbsp elderflower cordial together in a bowl until the mixture holds its shape. Chop the reserved strawberries, then fold them into the cream mixture. Use half of the cream to fill the centre of the gateau, spreading right to the edges so it holds the strawberries in place.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Push a single layer of the chopped flan offcuts into the cream (you may have some leftovers to nibble on), and drizzle over the remaining elderflower cordial. Stir the remaining jam through the rest of the cream, spread it over the flan pieces, and top with the final piece of flan. Fold over the cling film and give the gateau a gentle press down to compact the layers. Chill while you make the icing. Can be chilled for up to 24 hrs.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Crush the raspberries with the back of a fork and stir in the 150g icing sugar to make a thick icing. Add a splash of water if it’s too thick. Alternatively, add enough water to the icing sugar to make a thick icing, then stir in a few drops of pink food colouring.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""When you’re ready to serve, remove the cake from the tin and discard the cling film, then transfer to a cake stand. Spread the icing right to the edges, then scatter the pistachios in a ring around the top, if using, and serve with a little strawberry coulis or cream on the side, if you like.""}]"
Roast new potatoes & radishes,"[{""""ing_group"""":""600g new potatoes , halved, larger ones quartered""},{""""ing_group"""":""500g radishes , halved, larger ones quartered""},{""""ing_group"""":""4 tbsp olive oil""},{""""ing_group"""":""2 tsp black mustard seeds""},{""""ing_group"""":""1 tsp chilli flakes , plus extra to serve (optional)""},{""""ing_group"""":""30g pumpkin seeds""},{""""ing_group"""":""150g Greek yogurt""},{""""ing_group"""":""2 spring onions , thinly sliced (green parts and all)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Put the potatoes in a saucepan of water, bring to the boil and cook for 8 mins. Drain and leave to steam dry.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Put the potatoes in one roasting tin and the radishes into another. Divide the oil between them, along with the mustard seeds and chilli flakes. Season and give everything a good mix. Put in the oven and roast for 25 mins, then take out the radishes and roast the potatoes for an extra 10 mins until crisp. Meanwhile, toast the pumpkin seeds in a dry frying pan.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Spread the yogurt onto a sharing platter. Pile on the potatoes and radishes, then scatter over the spring onions, pumpkin seeds and a few more chilli flakes, if you like.""}]"
Campfire smoky bean brekkie,"[{""""ing_group"""":""4 tbsp olive or rapeseed oil""},{""""ing_group"""":""3-4 rosemary sprigs""},{""""ing_group"""":""6 chipolatas""},{""""ing_group"""":""12 small cooking chorizo , halved""},{""""ing_group"""":""6 good-quality smoked hot dog sausages , cut into large chunks""},{""""ing_group"""":""2 onions , chopped""},{""""ing_group"""":""500ml carton passata""},{""""ing_group"""":""300g good quality BBQ sauce (we used Stokes)""},{""""ing_group"""":""2 x 400g cans borlotti beans , drained""},{""""ing_group"""":""2 x 400g cans haricot beans , drained""},{""""ing_group"""":""8-10 eggs""},{""""ing_group"""":""toast , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large paella pan (ours was 45cm). Add the rosemary and sizzle for a minute or 2, then scoop it out to a plate and set aside. Add the chipolatas and brown all over, push to one side of the pan and add the other sausages. Cook for a few mins until the chorizo starts to release some of its oil, then push these aside too. Add the onions and cook until soft, about 8 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the passata, BBQ sauce and some seasoning, bring to a simmer and bubble for a few mins, then stir in the beans and bring everything back to a bubble.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Using the back of a spoon, create little spaces in the beans and crack in the eggs, dotting them over the surface. Cover the pan with foil and cook gently for 10 mins or until the eggs are cooked to your liking. Top with the rosemary and serve with buttered toast and mugs of tea.""}]"
