recip,ing_group,meth_group
Gin & tonic cheesecake,"[{""ing_group"":""250g digestive biscuits""},{""ing_group"":""100g butter , melted""},{""ing_group"":""600g cream cheese""},{""ing_group"":""100g icing sugar""},{""ing_group"":""zest and juice of 1 lime , plus extra zest to serve""},{""ing_group"":""50ml gin""},{""ing_group"":""280ml double cream""},{""ing_group"":""250ml can gin and tonic""},{""ing_group"":""2 tbsp caster sugar""},{""ing_group"":""1 lemon , half juiced, half finely sliced""},{""ing_group"":""2 medium meringues , crushed""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Butter and line a 23cm loose-bottomed tin with baking parchment. Put the digestive biscuits in a plastic food bag and crush to crumbs using a rolling pin, or blitz in a food processor. Transfer to a bowl, then pour over the melted butter. Mix thoroughly until the crumbs are completely coated. Tip them into the prepared tin and press firmly down into the base to create an even layer. Chill in the fridge for 1 hr to set firmly.""},{""meth_group"":""STEP 2""},{""meth_group"":""To make the filling, place the cream cheese, icing sugar and lime zest in a bowl, then beat with an electric whisk until smooth. Tip in the gin and double cream, and continue beating until the mixture is thick and completely combined. Now spoon it onto the biscuit base, and spread to the edges. Smooth the top of the cheesecake down with the back of a dessert spoon or spatula. Leave to set in the fridge overnight.""},{""meth_group"":""STEP 3""},{""meth_group"":""Pour the can of gin and tonic into a pan, add the caster sugar and lemon juice and boil hard. Once it has reduced to a syrup (about 3-4 minutes over high heat), cool a little, then add the lime juice and the slices of lemon and toss in the syrup. Allow to cool completely.""},{""meth_group"":""STEP 4""},{""meth_group"":""To serve, place the base of the cheesecake on top of a can, then gradually pull the sides of the tin down. Slip the cake onto a serving plate, removing the lining paper and base. Top with a handful of the crushed meringues, then drizzle with the syrup, scattering the lemon slices on top as you go. Add a final dusting of lime zest, slice and serve.""}]"
Veggie rainbow picnic pie,"[{""ing_group"":""450g butternut squash , peeled, sliced and cut into small chunks""},{""ing_group"":""2 tbsp olive or rapeseed oil""},{""ing_group"":""1 large onion , sliced""},{""ing_group"":""550g small waxy potatoes , peeled and sliced""},{""ing_group"":""2 x 375g blocks all-butter puff pastry""},{""ing_group"":""flour , for dusting""},{""ing_group"":""1 x 320g ready-rolled sheet all-butter puff pastry""},{""ing_group"":""2 tbsp breadcrumbs""},{""ing_group"":""300g pack cooked beetroot , sliced""},{""ing_group"":""450g jar roasted red peppers , drained""},{""ing_group"":""200g block feta cheese""},{""ing_group"":""150g frozen peas""},{""ing_group"":""small bunch each parsley and mint, chopped""},{""ing_group"":""10 eggs""},{""ing_group"":""2 tbsp sesame seeds""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Toss the squash in 1 tbsp oil and some seasoning and roast for 20 mins until soft. Meanwhile, fry the onion in the remaining oil for 10-15 mins over a low heat until golden and boil the potatoes for 8 mins until soft. Drain the potatoes and leave the veg to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Reduce oven to 180C/160C fan/gas 4. Line a 20cm x 30cm baking tin with a long double thickness strip of parchment (this will help you to lift out the pie once cooked). Squeeze the two blocks of pastry together, then roll out on a floured surface – the pastry should be about the thickness of a £1 coin. Use the pastry to line the tin, leaving any excess pastry hanging over the edges.""},{""meth_group"":""STEP 3""},{""meth_group"":""Sprinkle the breadcrumbs over the base of the pastry. Layer in the beetroot slices, peppers, squash, onions, feta, potatoes, peas and herbs (in that order for a nice rainbow effect), seasoning well between each layer. Beat the eggs and pour slowly over the filling until most of it has sunk through the layers, saving a little to glaze the top. Brush some egg over the overhanging pastry then lay the rolled pastry sheet on top. Press the pastry sheets together, then use some kitchen scissors to trim the excess pastry, leaving about 2cm. Roll the edges in to seal, then press them firmly with a fork. Brush with egg, sprinkle with seeds, then use the fork prongs to mark out 12 portions. Bake for 1 hr 20 mins until the pastry is golden and crisp. Leave to cool completely before slicing, or chill for up to two days before serving.""}]"
Roast new potatoes & radishes,"[{""ing_group"":""600g new potatoes , halved, larger ones quartered""},{""ing_group"":""500g radishes , halved, larger ones quartered""},{""ing_group"":""4 tbsp olive oil""},{""ing_group"":""2 tsp black mustard seeds""},{""ing_group"":""1 tsp chilli flakes , plus extra to serve (optional)""},{""ing_group"":""30g pumpkin seeds""},{""ing_group"":""150g Greek yogurt""},{""ing_group"":""2 spring onions , thinly sliced (green parts and all)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Put the potatoes in a saucepan of water, bring to the boil and cook for 8 mins. Drain and leave to steam dry.""},{""meth_group"":""STEP 2""},{""meth_group"":""Put the potatoes in one roasting tin and the radishes into another. Divide the oil between them, along with the mustard seeds and chilli flakes. Season and give everything a good mix. Put in the oven and roast for 25 mins, then take out the radishes and roast the potatoes for an extra 10 mins until crisp. Meanwhile, toast the pumpkin seeds in a dry frying pan.""},{""meth_group"":""STEP 3""},{""meth_group"":""Spread the yogurt onto a sharing platter. Pile on the potatoes and radishes, then scatter over the spring onions, pumpkin seeds and a few more chilli flakes, if you like.""}]"
Smashed chicken with corn slaw,"[{""ing_group"":""4 skinless chicken breast fillets""},{""ing_group"":""1 lime , zested and juiced""},{""ing_group"":""2 tbsp bio yogurt""},{""ing_group"":""1 tsp fresh thyme leaves""},{""ing_group"":""¼ tsp turmeric""},{""ing_group"":""2 tbsp finely chopped coriander""},{""ing_group"":""1 garlic clove , finely grated""},{""ing_group"":""1 tsp rapeseed oil""},{""ing_group"":""1 small avocado""},{""ing_group"":""1 lime , zested and juiced""},{""ing_group"":""2 tbsp bio yogurt""},{""ing_group"":""2 tbsp finely chopped coriander""},{""ing_group"":""160g corn , cut from 2 cobs""},{""ing_group"":""1 red pepper , deseeded and chopped""},{""ing_group"":""1 red onion , halved and finely sliced""},{""ing_group"":""320g white cabbage , finely sliced""},{""ing_group"":""150g new potatoes , boiled, to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the chicken breasts in half, then put them between two sheets of baking parchment and bash with a rolling pin to flatten. Mix the lime zest and juice with the yogurt, thyme, turmeric, coriander and garlic in a large bowl. Add the chicken and stir until well coated. Leave to marinate while you make the slaw.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mash the avocado with the lime juice and zest, 2 tbsp yogurt and the coriander. Stir in the corn, red pepper, onion and cabbage.""},{""meth_group"":""STEP 3""},{""meth_group"":""Heat a large non-stick frying pan or griddle pan, then cook the chicken in batches for a few mins each side – they’ll cook quickly as they’re thin. Serve the hot chicken with the slaw and the new potatoes. If you're cooking for two, chill half the chicken and slaw for lunch another day (eat within two days).""}]"
Griddled halloumi with watermelon & caper breadcrumbs,"[{""ing_group"":""750g watermelon""},{""ing_group"":""2 small shallots , very finely sliced""},{""ing_group"":""100ml extra virgin olive oil , plus extra for brushing and to serve""},{""ing_group"":""4 tsp white balsamic vinegar""},{""ing_group"":""300g halloumi , sliced""},{""ing_group"":""good squeeze of lemon juice""},{""ing_group"":""75g slightly stale country bread , crusts removed, blitzed into coarse breadcrumbs""},{""ing_group"":""1-2 cloves garlic , finely chopped""},{""ing_group"":""½ medium red chilli , halved, deseeded and chopped""},{""ing_group"":""2½ tbsp capers , rinsed""},{""ing_group"":""50g blanched almonds , toasted and chopped""},{""ing_group"":""small bunch of mint , leaves picked, half of them torn""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the watermelon into either cubes or slices and transfer to a bowl with the shallots. Add 4 tbsp extra virgin olive oil and the balsamic, then season with fresh black pepper. Cover and put in the fridge for about 15-20 mins.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the remaining oil in a frying pan. Fry the breadcrumbs until turning gold. Add the garlic, chilli and capers and cook for another minute, then toss in the almonds. Remove from the heat, add the torn mint (it will wilt a little), then taste – it will be quite salty, but the watermelon won’t be, so you’ll get a good contrast.""},{""meth_group"":""STEP 3""},{""meth_group"":""Brush the halloumi with a little oil and heat a griddle pan. Griddle the cheese on both sides until just starting to melt but still holding its shape, with nice golden griddle marks. Toss the cold watermelon and shallots with the rest of the mint leaves and some salt. Divide between four plates, or pile onto a platter. Put the hot halloumi on top. Squeeze over some lemon juice and top with some of the breadcrumb and caper mix. Serve immediately.""}]"
Chipotle gazpacho,"[{""ing_group"":""1kg ripe tomatoes , roughly chopped""},{""ing_group"":""1 large red pepper , deseeded and roughly chopped""},{""ing_group"":""½ cucumber , sliced""},{""ing_group"":""4 spring onions , finely sliced""},{""ing_group"":""1 small garlic clove , grated""},{""ing_group"":""40g blanched almonds , roughly chopped""},{""ing_group"":""3 limes , juiced""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""2 tsp chipotle paste""},{""ing_group"":""1 large, ripe avocado , cubed""},{""ing_group"":""1 small red chilli , deseeded and finely chopped""},{""ing_group"":""½ small bunch coriander , finely chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the tomatoes, pepper, cucumber, two of the spring onions, the garlic, half the almonds, half the lime juice, and all the olive oil and chipotle paste into a blender. Whizz until almost smooth. Pour into a jug and chill for at least 2 hrs.""},{""meth_group"":""STEP 2""},{""meth_group"":""When ready to eat, toss the remaining spring onion, avocado, chilli and coriander with the remaining lime juice. Ladle the soup into four bowls and top with the avocado salsa and reserved almonds.""}]"
Crab & avocado tostadas,"[{""ing_group"":""1 small  red onion , sliced into thin rings""},{""ing_group"":""juice 2  limes , plus wedges to serve""},{""ing_group"":""pinch of  caster sugar""},{""ing_group"":""170g can white crabmeat in brine, drained""},{""ing_group"":""2 spring onions , finely sliced""},{""ing_group"":""1 red chilli , deseeded and chopped""},{""ing_group"":""1 really ripe avocado , peeled, stoned and chopped""},{""ing_group"":""1 small garlic clove , crushed""},{""ing_group"":""2 corn tortillas""},{""ing_group"":""handful mixed salad leaves""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the onion in a bowl and cover with half the lime juice and a good pinch each of sugar and salt. Leave to soften while you get everything else ready.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix together the crabmeat, spring onions and half the chilli. Season with black pepper and set aside. Mash the avocado with the remaining lime juice, garlic and some seasoning. You can leave it quite chunky or mash it until smooth. Stir in the rest of the chilli.""},{""meth_group"":""STEP 3""},{""meth_group"":""Bend each tortilla in half and toast in a toaster for 1 min. Put on 2 plates and top with the salad leaves, then mashed avocado. Finish with the crabmeat and drained pickled onion. Serve with lime wedges for squeezing over.""}]"
"Tomato, burrata & broad bean salad","[{""ing_group"":""500g tomatoes (I used a mix of sizes and colours)""},{""ing_group"":""1⁄2 tsp caster sugar""},{""ing_group"":""150g broad beans , podded""},{""ing_group"":""handful basil""},{""ing_group"":""handful chives""},{""ing_group"":""handful flat leaf parsley""},{""ing_group"":""1 tbsp tarragon""},{""ing_group"":""1 tbsp lovage""},{""ing_group"":""1 tbsp mint leaves""},{""ing_group"":""3 tbsp olive oil""},{""ing_group"":""2 tsp Dijon mustard""},{""ing_group"":""pinch of fennel seeds""},{""ing_group"":""1 lemon , zested""},{""ing_group"":""1 tbsp red wine vinegar""},{""ing_group"":""2 x 100g burrata or 2 x 125g balls mozzarella""},{""ing_group"":""50g hazelnuts , toasted and roughly chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Chop the tomatoes into a mixture of slices and wedges, then put them in a bowl. Toss with 1/2 tsp salt and the sugar, then leave to marinate for 30 mins. Meanwhile, bring a pan of water to the boil and add the broad beans. Boil for 2 mins, then drain and allow to cool for a couple of mins. Peel them out of their shells. This is a bit fiddly but well worth it – I use my thumbnail to pierce the skin, then gently squeeze out the shiny green beans.""},{""meth_group"":""STEP 2""},{""meth_group"":""Finely chop the herbs, then tip into a bowl and whisk in the olive oil, mustard, fennel seeds, most of the lemon zest, and red wine vinegar. Season, then stir in the broad beans.""},{""meth_group"":""STEP 3""},{""meth_group"":""Tip the tomatoes onto a serving platter. Top with the burrata, then spoon over the broad bean salsa. Scatter over the hazelnuts and remaining lemon zest to serve.""}]"
Swedish meatballs with beetroot & apple salad,"[{""ing_group"":""500g lean pork mince (5% fat)""},{""ing_group"":""100g coarsely grated courgette , squeezed of excess juice""},{""ing_group"":""1 onion , grated""},{""ing_group"":""4 tbsp chopped fresh dill""},{""ing_group"":""2 garlic cloves , finely grated""},{""ing_group"":""1 egg""},{""ing_group"":""1 tbsp rapeseed oil""},{""ing_group"":""1 tsp thyme leaves""},{""ing_group"":""2 tsp vegetable bouillon powder , made up to 300ml with boiling water""},{""ing_group"":""2 tbsp half-fat crème fraîche""},{""ing_group"":""1 large apple , chopped""},{""ing_group"":""1 red onion , halved and thinly sliced""},{""ing_group"":""4 tbsp chopped parsley""},{""ing_group"":""2 tsp capers""},{""ing_group"":""½ lemon , juiced""},{""ing_group"":""320g cooked beetroot , cut into strips""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""To make the meatballs, tip the pork into a bowl and add the grated courgette and onion, half the dill, half the garlic and plenty of black pepper. Break in the egg and mix well with your hands. When everything is well combined, break off walnut-size pieces and roll into balls – you should end up with about 28. The mixture will be very soft.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the oil in a large non-stick frying pan then gently fry the meatballs in two batches until firm and pale golden, turning them every now and then so they brown evenly. Each batch should take 6-8 mins.""},{""meth_group"":""STEP 3""},{""meth_group"":""Wipe out the pan to remove excess fat and add the remaining garlic and thyme, then pour in the bouillon and bring to the boil. Turn off the heat, stir in the crème fraîche and remaining dill, then return the meatballs to the pan and turn them in the mixture until coated.""},{""meth_group"":""STEP 4""},{""meth_group"":""For the salad, mix the apple, onion, parsley and capers with the lemon, then stir through the beetroot. Serve the salad alongside the meatballs. If you’re cooking for two people, eat half the meatballs and salad now, and chill the rest for another day – it will keep in the fridge for up to three days. Reheat the meatballs in the microwave until piping hot.""}]"
Salted tomato salad,"[{""ing_group"":""300g heritage tomatoes , various shapes and sizes""},{""ing_group"":""1 red onion""},{""ing_group"":""1 garlic clove""},{""ing_group"":""8 small basil leaves""},{""ing_group"":""1 tbsp olive oil""},{""ing_group"":""1 tbsp nigella seeds""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Chop the tomatoes into equal-sized chunks and slice the onion, then transfer them to a bowl. Grate the garlic, then add to the tomatoes, along with the basil leaves.""},{""meth_group"":""STEP 2""},{""meth_group"":""Sprinkle with ½ tsp salt, pour over the oil and toss together. Leave to infuse for up to 30 mins, then serve sprinkled with nigella seeds.""}]"
Roasted vegetables,"[{""ing_group"":""3 tbsp olive oil""},{""ing_group"":""1 aubergine, cut into chunks""},{""ing_group"":""2 mixed coloured peppers, such as orange and red, cut into chunks""},{""ing_group"":""1 red onion, cut into wedges""},{""ing_group"":""2 courgettes, cut into chunks""},{""ing_group"":""4 garlic cloves, smashed""},{""ing_group"":""3 sprigs of thyme""},{""ing_group"":""200g cherry tomatoes""},{""ing_group"":""handful of basil leaves""},{""ing_group"":""zest of 1 lemon""},{""ing_group"":""50g feta, crumbled""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oven to 200C/180C Fan/gas 6. Mix the oil with the aubergine, peppers, red onion, courgette, garlic and thyme in a bowl with sea salt and black pepper. Tip into a large roasting tin then roast for 30 mins. Add the tomatoes to the pan and return to the oven for 10 mins.""},{""meth_group"":""STEP 2""},{""meth_group"":""Squeeze the garlic from their skins, remove the thyme then scatter over the basil, lemon zest and crumbled feta.""}]"
Strawberry shortbread ice cream sandwich,"[{""ing_group"":""4 scoops strawberry cheesecake ice cream , softened""},{""ing_group"":""a few fresh strawberries , finely chopped""},{""ing_group"":""8 Viennese whirls (or shortbread biscuits)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Mix the ice cream with the strawberries and freeze until solid.""},{""meth_group"":""STEP 2""},{""meth_group"":""Sandwich spoonfuls of the ice cream between the biscuits, then eat immediately.""}]"
Cheesy seafood bake,"[{""ing_group"":""300g medium potatoes (about 3), thinly sliced""},{""ing_group"":""2 tbsp milk""},{""ing_group"":""40g mature cheddar , finely grated""},{""ing_group"":""1 tsp rapeseed oil""},{""ing_group"":""1 onion (160g), finely chopped""},{""ing_group"":""1 red pepper , deseeded and finely diced (270g)""},{""ing_group"":""2 tsp balsamic vinegar""},{""ing_group"":""1 tsp vegetable bouillon powder""},{""ing_group"":""400g can chopped tomatoes""},{""ing_group"":""½ x 30g pack basil , leaves picked and finely chopped""},{""ing_group"":""1 garlic clove , finely grated""},{""ing_group"":""280g pack skinless cod loins""},{""ing_group"":""100g frozen small Atlantic cooked prawns , defrosted""},{""ing_group"":""160g broccoli florets""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Boil the potato slices for 10 mins then drain, tip into a bowl and gently mix in the milk and half the cheese. Don’t worry if the potatoes break up a little.""},{""meth_group"":""STEP 2""},{""meth_group"":""Meanwhile, heat the oil in a large frying pan and cook the onion until softened. Stir in the pepper and cook for 5 mins more. Spoon in the balsamic vinegar and bouillon powder, then stir in the tomatoes, basil and garlic. Lay the cod fillets on top, then cover and cook for 6-8 mins until the cod flakes when tested. Heat the grill to high.""},{""meth_group"":""STEP 3""},{""meth_group"":""Take off the heat, stir in the prawns and tip into a shallow baking dish, breaking up the cod into large chunks. Cover with the potatoes and sprinkle with the remaining cheese. Grill until golden. While it’s grilling, steam or boil the broccoli to serve with the bake.""}]"
Cheesy seafood bake,"[{""ing_group"":""300g medium potatoes (about 3), thinly sliced""},{""ing_group"":""2 tbsp milk""},{""ing_group"":""40g mature cheddar , finely grated""},{""ing_group"":""1 tsp rapeseed oil""},{""ing_group"":""1 onion (160g), finely chopped""},{""ing_group"":""1 red pepper , deseeded and finely diced (270g)""},{""ing_group"":""2 tsp balsamic vinegar""},{""ing_group"":""1 tsp vegetable bouillon powder""},{""ing_group"":""400g can chopped tomatoes""},{""ing_group"":""½ x 30g pack basil , leaves picked and finely chopped""},{""ing_group"":""1 garlic clove , finely grated""},{""ing_group"":""280g pack skinless cod loins""},{""ing_group"":""100g frozen small Atlantic cooked prawns , defrosted""},{""ing_group"":""160g broccoli florets""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Boil the potato slices for 10 mins then drain, tip into a bowl and gently mix in the milk and half the cheese. Don’t worry if the potatoes break up a little.""},{""meth_group"":""STEP 2""},{""meth_group"":""Meanwhile, heat the oil in a large frying pan and cook the onion until softened. Stir in the pepper and cook for 5 mins more. Spoon in the balsamic vinegar and bouillon powder, then stir in the tomatoes, basil and garlic. Lay the cod fillets on top, then cover and cook for 6-8 mins until the cod flakes when tested. Heat the grill to high.""},{""meth_group"":""STEP 3""},{""meth_group"":""Take off the heat, stir in the prawns and tip into a shallow baking dish, breaking up the cod into large chunks. Cover with the potatoes and sprinkle with the remaining cheese. Grill until golden. While it’s grilling, steam or boil the broccoli to serve with the bake.""}]"
"Bean, feta & herb dip","[{""ing_group"":""400g can cannellini bean""},{""ing_group"":""200g feta cheese""},{""ing_group"":""1 tbsp lemon juice""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""3 tbsp chopped dill, mint or  chives (or 1 tbsp each)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Drain and rinse beans. Tip into a food processor with feta, lemon juice and garlic, and whizz until smooth. Add dill, mint or chives, and season with pepper.""}]"
Summer egg salad with basil & peas,"[{""ing_group"":""150g new potatoes , thickly sliced""},{""ing_group"":""160g French beans , trimmed""},{""ing_group"":""160g frozen peas""},{""ing_group"":""3 eggs""},{""ing_group"":""160g romaine lettuce , roughly torn into pieces""},{""ing_group"":""1 tbsp extra virgin olive oil""},{""ing_group"":""2 tsp cider vinegar""},{""ing_group"":""½ tsp English mustard powder""},{""ing_group"":""2 tbsp chopped mint""},{""ing_group"":""3 tbsp chopped basil""},{""ing_group"":""1 garlic clove , finely grated""},{""ing_group"":""1 tbsp capers""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cook the potatoes in a pan of simmering water for 5 mins. Add the beans and cook 5 mins more, then tip in the peas and cook for 2 mins until all the vegetables are just tender. Meanwhile, boil the eggs in another pan for 8 mins. Drain and run under cold water, then carefully shell and halve.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix all the dressing ingredients together in a large bowl with a good grinding of black pepper, crushing the herbs and capers with the back of a spoon to intensify their flavours.""},{""meth_group"":""STEP 3""},{""meth_group"":""Mix the warm vegetables into the dressing to coat, then add the lettuce and toss everything together. Pile onto plates, top with the eggs and grind over some black pepper to serve.""}]"
Pepper & lemon spaghetti with basil & pine nuts,"[{""ing_group"":""1 tbsp rapeseed oil""},{""ing_group"":""1 red pepper , deseeded and diced""},{""ing_group"":""150g wholemeal spaghetti""},{""ing_group"":""2 courgettes (250g), grated""},{""ing_group"":""2 garlic cloves , finely grated""},{""ing_group"":""1 lemon , zested and juiced""},{""ing_group"":""15g basil , finely chopped""},{""ing_group"":""25g pine nuts , toasted""},{""ing_group"":""2 tbsp finely grated parmesan or vegetarian alternative (optional)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oil in a large non-stick frying pan. Add the pepper and cook for 5 mins. Meanwhile, cook the pasta for 10-12 mins until tender.""},{""meth_group"":""STEP 2""},{""meth_group"":""Add the courgette and garlic to the pepper and cook, stirring very frequently, for 10-15 mins until the courgette is really soft.""},{""meth_group"":""STEP 3""},{""meth_group"":""Stir in the lemon zest and juice, basil and spaghetti (reserve some pasta water) and toss together, adding a little of the pasta water until nicely coated. Add the pine nuts, then spoon into bowls and serve topped with the parmesan, if using.""}]"
Summer berry cake with rose geranium cream,"[{""ing_group"":""325g butter , at room temperature, plus extra for the tins""},{""ing_group"":""425g caster sugar""},{""ing_group"":""2 tsp almond extract""},{""ing_group"":""½ lemon , finely zested""},{""ing_group"":""250g plain yogurt""},{""ing_group"":""4 large eggs , at room temperature""},{""ing_group"":""375g self-raising flour""},{""ing_group"":""225g ground almonds""},{""ing_group"":""200g mascarpone""},{""ing_group"":""300ml double cream""},{""ing_group"":""1 tbsp lemon juice""},{""ing_group"":""icing sugar , to taste, plus extra for dusting""},{""ing_group"":""1-2 tsp rose geranium water or rose water, to taste (see tip, below)""},{""ing_group"":""800g summer berries (raspberries, blackberries, redcurrants, blackcurrants, hulled strawberries and loganberries)""},{""ing_group"":""4 tbsp caster sugar""},{""ing_group"":""rose geranium flowers or other edible flowers""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 180C/160C fan/gas 4. Butter and line the bases of three 23cm cake tins. Cream the butter and sugar until light and fluffy, then add the almond extract and lemon zest. Use a fork to whisk the yogurt with the eggs. With the mixer on a low speed, add the flour, ground almonds and 1/2 tsp salt to the butter and sugar, alternating with the yogurt and eggs.""},{""meth_group"":""STEP 2""},{""meth_group"":""Divide the batter between the tins and bake for 35-40 mins or until a skewer inserted into the middle comes out clean. Cool in the tins for 5 mins, then turn out onto a wire rack, remove the parchment and leave to cool.""},{""meth_group"":""STEP 3""},{""meth_group"":""Beat the mascarpone to loosen it. Whip the cream until it holds its shape. Combine the cream, mascarpone and lemon juice, then carefully add the icing sugar and flower water to taste.""},{""meth_group"":""STEP 4""},{""meth_group"":""Assemble the cake just before serving. Toss the berries with the caster sugar. Spread the flattest cake with half the cream, then add half the fruit. Top with a second cake, spread with the rest of the cream and top with the rest of the fruit. Finish with the last cake, sift over icing sugar, then decorate with rose geranium petals and rose geranium leaves (as long as they’re small).""}]"
Easy vanilla cupcakes,"[{""ing_group"":""110g butter , softened""},{""ing_group"":""110g golden caster sugar""},{""ing_group"":""2 eggs""},{""ing_group"":""1 tsp vanilla extract""},{""ing_group"":""110g self-raising flour""},{""ing_group"":""1-2 tbsp milk , plus a little extra for the icing""},{""ing_group"":""125g butter , softened""},{""ing_group"":""185g icing sugar""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 180C/160C fan/gas 4. Line 12 holes in a shallow muffin tin with cupcake cases (not muffin cases). Cream the butter and sugar together until the mixture is light and fluffy. Beat the eggs and vanilla in a jug, then beat into the butter mixture a little at a time.""},{""meth_group"":""STEP 2""},{""meth_group"":""Fold the flour into the mixture along with a little milk – the mixture should fall easily off a spoon. Divide the mixture between the cases, filling each one no more than half full.""},{""meth_group"":""STEP 3""},{""meth_group"":""Cook the cakes for 12-15 mins – they should be firm to the touch and slightly golden brown. Cool in the tin for 5 mins, then lift them out gently and leave to cool completely.""},{""meth_group"":""STEP 4""},{""meth_group"":""To make the icing, beat the butter until it is very soft. Beat in the icing sugar a little at a time, then beat in a splash of the milk as you need to give you a soft icing that can be piped easily. Scrape the icing into an icing bag fitted with a star nozzle. Ice the cakes in swirls, starting in the centre and working outwards.""}]"
Halloumi & quinoa fattoush,"[{""ing_group"":""2 brown pittas , torn into pieces""},{""ing_group"":""5 tbsp olive oil""},{""ing_group"":""2 lemons , juiced""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""250g block halloumi , sliced""},{""ing_group"":""250g microwavable pouch  quinoa""},{""ing_group"":""350g medium  tomatoes , quartered""},{""ing_group"":""1 large  cucumber , halved, deseeded and sliced""},{""ing_group"":""4 spring onions , sliced""},{""ing_group"":""½ small bunch  mint , chopped""},{""ing_group"":""½ small bunch  dill , roughly chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the grill to high. Toss the pitta pieces with 1 tbsp oil and spread out onto a baking sheet. Grill for 3-4 mins, turning halfway, until golden and crisp. Set aside to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Meanwhile, whisk together the remaining oil with the lemon juice and garlic, then season. Heat a large griddle pan or non-stick frying pan over a high heat and cook the halloumi for 1-2 mins on each side or until lightly charred.""},{""meth_group"":""STEP 3""},{""meth_group"":""Cook the quinoa following pack instructions, leave to cool, then toss with the tomatoes, cucumber, spring onion, most of the fresh herbs and the dressing. Season to taste. Tip onto a serving plate and top with the halloumi, pitta and remaining herbs.""}]"
Rustic beans & spinach with garlic yogurt,"[{""ing_group"":""2 tbsp rapeseed oil""},{""ing_group"":""1 large onion , halved and sliced""},{""ing_group"":""170g carrots , cut into small chunks""},{""ing_group"":""5 garlic cloves , 3 finely sliced and 2 crushed""},{""ing_group"":""1 tbsp sherry vinegar""},{""ing_group"":""1 red pepper , deseeded and chopped""},{""ing_group"":""½ tsp vegetable bouillon powder , made up to 250ml with boiling water""},{""ing_group"":""2 rosemary sprigs""},{""ing_group"":""1 tbsp smoked paprika , plus a pinch to serve""},{""ing_group"":""150g whole cherry tomatoes""},{""ing_group"":""1 ½ tbsp tomato purée""},{""ing_group"":""400g and 210g cans butter beans , drained""},{""ing_group"":""2 x 120g pots bio yogurt""},{""ing_group"":""160g baby spinach""},{""ing_group"":""squeeze lemon (optional)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oil in a large pan and fry the onion, carrots and sliced garlic, stirring frequently for 10 mins until the veg starts to caramelise. Pour in the sherry vinegar, allowing it to sizzle in the heat, then add the pepper, bouillon, rosemary, paprika, cherry tomatoes, tomato purée and beans, and cook for 15 mins. Meanwhile, stir the yogurt and crushed garlic together.""},{""meth_group"":""STEP 2""},{""meth_group"":""Stir the spinach into the pan and cook until wilted, adding a splash of water if you need to. Add some lemon juice to taste if you like, then serve in bowls topped with a dollop of the yogurt, a pinch of paprika and a good grinding of black pepper.""}]"
